,Mean lifetime
0,868
1,249
2,313
3,1703
4,594
5,2382
6,359
7,1033
8,1324
9,1242
10,891
11,1527
12,687
13,215
14,655
15,605
16,981
17,452
18,428
19,391
20,387
21,1198
22,1133
23,411
24,587
25,1125
26,357
27,309
28,2793
29,652
30,248
31,704
32,275
33,697
34,2014
35,335
36,287
37,3039
38,579
39,981
40,219
41,785
42,1507
43,1904
44,738
45,575
46,1909
47,424
48,1170
49,476
50,1614
51,622
52,1956
53,774
54,293
55,1652
56,759
57,934
58,1019
59,1019
60,532
61,218
62,275
63,649
64,1212
65,319
66,237
67,2605
68,226
69,670
70,405
71,323
72,160
73,699
74,148
75,639
76,1308
77,434
78,156
79,544
80,644
81,244
82,351
83,1255
84,540
85,1926
86,460
87,532
88,156
89,1005
90,1113
91,312
92,284
93,1007
94,787
95,2174
96,208
97,564
98,242
99,455
100,1731
101,519
102,1143
103,483
104,424
105,397
106,369
107,1628
108,1229
109,588
110,485
111,421
112,370
113,316
114,362
115,493
116,1595
117,691
118,1650
119,275
120,756
121,536
122,529
123,137
124,2206
125,530
126,282
127,2126
128,536
129,227
130,1209
131,389
132,734
133,1338
134,834
135,638
136,150
137,1923
138,780
139,800
140,1256
141,344
142,2227
143,1065
144,283
145,926
146,726
147,2541
148,409
149,517
150,1599
151,301
152,373
153,633
154,1721
155,1557
156,427
157,555
158,653
159,1436
160,1381
161,253
162,644
163,436
164,466
165,1402
166,296
167,1988
168,1632
169,268
170,914
171,925
172,556
173,286
174,279
175,769
176,1420
177,3196
178,1162
179,890
180,873
181,1149
182,350
183,1076
184,703
185,302
186,2033
187,612
188,99
189,890
190,2195
191,896
192,570
193,848
194,1848
195,1433
196,524
197,757
198,875
199,245
200,772
201,636
202,763
203,1373
204,1174
205,751
206,2322
207,1218
208,887
209,1464
210,1563
211,334
212,517
213,640
214,688
215,231
216,453
217,719
218,427
219,839
220,768
221,1568
222,804
223,980
224,1090
225,1250
226,2398
227,1333
228,491
229,2453
230,974
231,1166
232,644
233,864
234,674
235,713
236,1332
237,806
238,1210
239,1043
240,755
241,354
242,623
243,556
244,573
245,1052
246,206
247,2286
248,880
249,381
250,874
251,2181
252,1901
253,720
254,994
255,632
256,268
257,194
258,468
259,1405
260,476
261,2420
262,404
263,755
264,2088
265,2587
266,378
267,1180
268,353
269,1136
270,773
271,558
272,1234
273,1580
274,1164
275,160
276,1482
277,524
278,187
279,622
280,1234
281,1746
282,886
283,1127
284,296
285,1008
286,883
287,340
288,397
289,826
290,1104
291,399
292,828
293,1327
294,501
295,1031
296,3135
297,1234
298,1108
299,379
300,1160
301,1147
302,749
303,686
304,813
305,982
306,810
307,1496
308,633
309,1890
310,554
311,484
312,481
313,1444
314,237
315,1854
316,322
317,729
318,1072
319,779
320,649
321,273
322,1644
323,946
324,1314
325,1444
326,237
327,1037
328,642
329,941
330,847
331,373
332,411
333,986
334,786
335,608
336,522
337,801
338,1490
339,999
340,1157
341,489
342,526
343,416
344,766
345,1619
346,905
347,316
348,106
349,1904
350,772
351,831
352,461
353,695
354,710
355,1490
356,611
357,1147
358,345
359,1093
360,2703
361,694
362,795
363,864
364,222
365,674
366,1096
367,693
368,1204
369,974
370,441
371,484
372,1205
373,313
374,720
375,1785
376,1299
377,585
378,633
379,343
380,1363
381,250
382,814
383,890
384,867
385,1676
386,434
387,327
388,1483
389,572
390,816
391,594
392,1146
393,516
394,2198
395,449
396,212
397,395
398,561
399,481
400,342
401,247
402,2849
403,618
404,644
405,857
406,246
407,2232
408,288
409,452
410,1260
411,715
412,707
413,1740
414,1091
415,1219
416,631
417,732
418,1189
419,694
420,960
421,1110
422,296
423,2171
424,229
425,312
426,1420
427,884
428,216
429,302
430,4114
431,595
432,788
433,795
434,638
435,357
436,819
437,213
438,1267
439,1023
440,891
441,1493
442,1769
443,1009
444,914
